"campaign_id","plot_id","date","tidal_stage","rain_24h_mm","air_temp_c","team","notes"
"TRAC_01_TC305DG","TC305DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC306DG","TC306DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC308DG","TC308DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC309DG","TC309DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC310DG","TC310DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC312DG","TC312DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC313DG","TC313DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC314DG","TC314DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC315DG","TC315DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC316DG","TC316DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC317DG","TC317DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC318DG","TC318DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC319DG","TC319DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC320DG","TC320DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC321DG","TC321DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC322DG","TC322DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC323DG","TC323DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC324DG","TC324DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC49DG","TC49DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC51DG","TC51DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC53DG","TC53DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC55DG","TC55DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC56DG","TC56DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC57DG","TC57DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC58DG","TC58DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC59DG","TC59DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_TC60DG","TC60DG",2026-03-21,,,,,"Initial DB load"
"TRAC_01_tr01pc","tr01pc",2026-03-21,,,,,"Initial DB load"
"TRAC_01_tr02pc","tr02pc",2026-03-21,,,,,"Initial DB load"
"TRAC_01_tr03pc","tr03pc",2026-03-21,,,,,"Initial DB load"
"TRAC_01_tr04pc","tr04pc",2026-03-21,,,,,"Initial DB load"
"TRAC_01_tr05pc","tr05pc",2026-03-21,,,,,"Initial DB load"
"TRAC_01_tr06pc","tr06pc",2026-03-21,,,,,"Initial DB load"
"TRAC_01_tr07pc","tr07pc",2026-03-21,,,,,"Initial DB load"
"TRAC_01_tr08pc","tr08pc",2026-03-21,,,,,"Initial DB load"
"TRAC_01_tr09pc","tr09pc",2026-03-21,,,,,"Initial DB load"
"TRAC_01_tr10pc","tr10pc",2026-03-21,,,,,"Initial DB load"
"TRAC_01_tr11pc","tr11pc",2026-03-21,,,,,"Initial DB load"
"TRAC_01_tr12pc","tr12pc",2026-03-21,,,,,"Initial DB load"
"TRAC_01_tr13pc","tr13pc",2026-03-21,,,,,"Initial DB load"
"TRAC_01_tr14pc","tr14pc",2026-03-21,,,,,"Initial DB load"
"TRAC_01_tr15pc","tr15pc",2026-03-21,,,,,"Initial DB load"
"TRAC_01_tr16pc","tr16pc",2026-03-21,,,,,"Initial DB load"
"TRAC_01_tr17pc","tr17pc",2026-03-21,,,,,"Initial DB load"
"TRAC_01_tr19pc","tr19pc",2026-03-21,,,,,"Initial DB load"
"TRAC_01_tr20pc","tr20pc",2026-03-21,,,,,"Initial DB load"
"TRAC_01_tr21pc","tr21pc",2026-03-21,,,,,"Initial DB load"
"TRAC_01_tr22pc","tr22pc",2026-03-21,,,,,"Initial DB load"
"TRAC_01_tr24pc","tr24pc",2026-03-21,,,,,"Initial DB load"
"TRAC_01_Total Geral","Total Geral",2026-03-21,,,,,"Initial DB load"
