"plot_id","site_id","plot_area_m2","utm_e","utm_n","utm_zone","datum","install_date","notes"
"TC305DG","TRAC",400,,,,"WGS84",,"Lat: -0.951139, Lon: -46.996139"
"TC306DG","TRAC",400,,,,"WGS84",,"Lat: -0.911528, Lon: -46.993472"
"TC308DG","TRAC",400,,,,"WGS84",,"Lat: -0.941944, Lon: -46.955972"
"TC309DG","TRAC",400,,,,"WGS84",,"Lat: -0.931500, Lon: -46.965278"
"TC310DG","TRAC",400,,,,"WGS84",,"Lat: -0.918111, Lon: -46.967861"
"TC312DG","TRAC",400,,,,"WGS84",,"Lat: -0.901694, Lon: -46.964278"
"TC313DG","TRAC",400,,,,"WGS84",,"Lat: -0.848528, Lon: -46.894194"
"TC314DG","TRAC",400,,,,"WGS84",,"Lat: -0.836194, Lon: -46.907694"
"TC315DG","TRAC",400,,,,"WGS84",,"Lat: -0.826750, Lon: -46.902944"
"TC316DG","TRAC",400,,,,"WGS84",,"Lat: -0.797250, Lon: -46.865806"
"TC317DG","TRAC",400,,,,"WGS84",,"Lat: -0.819528, Lon: -46.864639"
"TC318DG","TRAC",400,,,,"WGS84",,"Lat: -0.809472, Lon: -46.864861"
"TC319DG","TRAC",400,,,,"WGS84",,"Lat: -0.875417, Lon: -46.974083"
"TC320DG","TRAC",400,,,,"WGS84",,"Lat: -0.870806, Lon: -46.944833"
"TC321DG","TRAC",400,,,,"WGS84",,"Lat: -0.761306, Lon: -46.855000"
"TC322DG","TRAC",400,,,,"WGS84",,"Lat: -0.748889, Lon: -46.850361"
"TC323DG","TRAC",400,,,,"WGS84",,"Lat: -0.745139, Lon: -46.858694"
"TC324DG","TRAC",400,,,,"WGS84",,"Lat: -0.878194, Lon: -46.812083"
"TC49DG","TRAC",400,,,,"WGS84",,"Lat: -0.907000, Lon: -46.818169"
"TC51DG","TRAC",400,,,,"WGS84",,"Lat: -0.800461, Lon: -46.830103"
"TC53DG","TRAC",400,,,,"WGS84",,"Lat: -0.797231, Lon: -46.843444"
"TC55DG","TRAC",400,,,,"WGS84",,"Lat: -0.882778, Lon: -46.852611"
"TC56DG","TRAC",400,,,,"WGS84",,"Lat: -0.872481, Lon: -46.841861"
"TC57DG","TRAC",400,,,,"WGS84",,"Lat: -0.862389, Lon: -46.837400"
"TC58DG","TRAC",400,,,,"WGS84",,"Lat: -0.860864, Lon: -46.851536"
"TC59DG","TRAC",400,,,,"WGS84",,"Lat: -0.843072, Lon: -46.839086"
"TC60DG","TRAC",400,,,,"WGS84",,"Lat: -0.841639, Lon: -46.826811"
"tr01pc","TRAC",400,,,,"WGS84",,"Lat: -0.894718, Lon: -46.825828"
"tr02pc","TRAC",400,,,,"WGS84",,"Lat: -0.869727, Lon: -46.809441"
"tr03pc","TRAC",400,,,,"WGS84",,"Lat: -0.769564, Lon: -46.837315"
"tr04pc","TRAC",400,,,,"WGS84",,"Lat: -0.775606, Lon: -46.833842"
"tr05pc","TRAC",400,,,,"WGS84",,"Lat: -0.752011, Lon: -46.840603"
"tr06pc","TRAC",400,,,,"WGS84",,"Lat: -0.967979, Lon: -47.001253"
"tr07pc","TRAC",400,,,,"WGS84",,"Lat: -0.909625, Lon: -47.003186"
"tr08pc","TRAC",400,,,,"WGS84",,"Lat: -0.938911, Lon: -46.969119"
"tr09pc","TRAC",400,,,,"WGS84",,"Lat: -0.922885, Lon: -46.975284"
"tr10pc","TRAC",400,,,,"WGS84",,"Lat: -0.859785, Lon: -46.921206"
"tr11pc","TRAC",400,,,,"WGS84",,"Lat: -0.852441, Lon: -46.892490"
"tr12pc","TRAC",400,,,,"WGS84",,"Lat: -0.831230, Lon: -46.914772"
"tr13pc","TRAC",400,,,,"WGS84",,"Lat: -0.846577, Lon: -46.910831"
"tr14pc","TRAC",400,,,,"WGS84",,"Lat: -0.795519, Lon: -46.875536"
"tr15pc","TRAC",400,,,,"WGS84",,"Lat: -0.830694, Lon: -46.881974"
"tr16pc","TRAC",400,,,,"WGS84",,"Lat: -0.817460, Lon: -46.881241"
"tr17pc","TRAC",400,,,,"WGS84",,"Lat: -0.865684, Lon: -46.957553"
"tr19pc","TRAC",400,,,,"WGS84",,"Lat: -0.747496, Lon: -46.860709"
"tr20pc","TRAC",400,,,,"WGS84",,"Lat: -0.746057, Lon: -46.852451"
"tr21pc","TRAC",400,,,,"WGS84",,"Lat: -0.746325, Lon: -46.849610"
"tr22pc","TRAC",400,,,,"WGS84",,"Lat: -0.858037, Lon: -46.810524"
"tr24pc","TRAC",400,,,,"WGS84",,"Lat: -0.872435, Lon: -46.807373"
"Total Geral","TRAC",400,,,,"WGS84",,"Lat: NA, Lon: NA"
