plot_id,campaign_id,plot_area_m2,C_AGB_kg_plot,C_AGB_Mg_ha,SOC_Mg_ha_total,SOC_Mg_ha_0_30,n_cores,TotalC_Mg_ha_0_30
TC305DG,TRAC_01_TC305DG,400,7767.7209909662515,194.1930247741563,NA,NA,NA,194.1930247741563
TC306DG,TRAC_01_TC306DG,400,8017.3199263798315,200.4329981594958,NA,NA,NA,200.4329981594958
TC308DG,TRAC_01_TC308DG,400,13611.167604494005,340.27919011235014,NA,NA,NA,340.27919011235014
TC309DG,TRAC_01_TC309DG,400,3090.7900059895364,77.26975014973841,NA,NA,NA,77.26975014973841
TC310DG,TRAC_01_TC310DG,400,430.55145105106493,10.763786276276623,NA,NA,NA,10.763786276276623
TC312DG,TRAC_01_TC312DG,400,17896.511557171416,447.41278892928534,NA,NA,NA,447.41278892928534
TC313DG,TRAC_01_TC313DG,400,11392.13307814735,284.8033269536837,NA,NA,NA,284.8033269536837
TC314DG,TRAC_01_TC314DG,400,3431.1942506358073,85.77985626589518,NA,NA,NA,85.77985626589518
TC315DG,TRAC_01_TC315DG,400,7357.90746355893,183.94768658897326,NA,NA,NA,183.94768658897326
TC316DG,TRAC_01_TC316DG,400,3421.919718522633,85.54799296306582,NA,NA,NA,85.54799296306582
TC317DG,TRAC_01_TC317DG,400,3483.157415428848,87.0789353857212,NA,NA,NA,87.0789353857212
TC318DG,TRAC_01_TC318DG,400,660.5775664315022,16.514439160787557,NA,NA,NA,16.514439160787557
TC319DG,TRAC_01_TC319DG,400,11297.208418959754,282.43021047399384,NA,NA,NA,282.43021047399384
TC320DG,TRAC_01_TC320DG,400,3402.45185739383,85.06129643484574,NA,NA,NA,85.06129643484574
TC321DG,TRAC_01_TC321DG,400,16074.395252899683,401.8598813224921,NA,NA,NA,401.8598813224921
TC322DG,TRAC_01_TC322DG,400,3593.6225344902978,89.84056336225744,NA,NA,NA,89.84056336225744
TC323DG,TRAC_01_TC323DG,400,3288.965446911626,82.22413617279064,NA,NA,NA,82.22413617279064
TC324DG,TRAC_01_TC324DG,400,95.11621785741951,2.377905446435488,NA,NA,NA,2.377905446435488
TC49DG,TRAC_01_TC49DG,400,11402.180958888304,285.0545239722076,NA,NA,NA,285.0545239722076
TC51DG,TRAC_01_TC51DG,400,10893.886048818029,272.3471512204507,NA,NA,NA,272.3471512204507
TC53DG,TRAC_01_TC53DG,400,4259.120411694617,106.47801029236543,NA,NA,NA,106.47801029236543
TC55DG,TRAC_01_TC55DG,400,3327.8176536331002,83.1954413408275,NA,NA,NA,83.1954413408275
TC56DG,TRAC_01_TC56DG,400,1871.2489100420933,46.78122275105233,NA,NA,NA,46.78122275105233
TC57DG,TRAC_01_TC57DG,400,7433.3262696978745,185.83315674244687,NA,NA,NA,185.83315674244687
TC58DG,TRAC_01_TC58DG,400,5216.548534648788,130.4137133662197,NA,NA,NA,130.4137133662197
TC59DG,TRAC_01_TC59DG,400,5085.533673719904,127.13834184299759,NA,NA,NA,127.13834184299759
TC60DG,TRAC_01_TC60DG,400,1472.7290978942522,36.81822744735631,NA,NA,NA,36.81822744735631
tr01pc,TRAC_01_tr01pc,400,5326.655286186151,133.16638215465377,NA,NA,NA,133.16638215465377
tr02pc,TRAC_01_tr02pc,400,2304.7283850511076,57.6182096262777,NA,NA,NA,57.6182096262777
tr03pc,TRAC_01_tr03pc,400,2376.6314287023997,59.415785717559984,NA,NA,NA,59.415785717559984
tr04pc,TRAC_01_tr04pc,400,5108.514189199975,127.71285472999935,NA,NA,NA,127.71285472999935
tr05pc,TRAC_01_tr05pc,400,2241.181433783164,56.029535844579094,NA,NA,NA,56.029535844579094
tr06pc,TRAC_01_tr06pc,400,6835.082759992543,170.8770689998136,NA,NA,NA,170.8770689998136
tr07pc,TRAC_01_tr07pc,400,697.7985737468235,17.444964343670588,NA,NA,NA,17.444964343670588
tr08pc,TRAC_01_tr08pc,400,3107.521753377984,77.6880438344496,NA,NA,NA,77.6880438344496
tr09pc,TRAC_01_tr09pc,400,4828.730252588372,120.71825631470931,NA,NA,NA,120.71825631470931
tr10pc,TRAC_01_tr10pc,400,6427.235715500266,160.68089288750667,NA,NA,NA,160.68089288750667
tr11pc,TRAC_01_tr11pc,400,138.66214624208862,3.4665536560522154,NA,NA,NA,3.4665536560522154
tr12pc,TRAC_01_tr12pc,400,1449.8304749999543,36.245761874998855,NA,NA,NA,36.245761874998855
tr13pc,TRAC_01_tr13pc,400,1938.0091191778786,48.450227979446964,NA,NA,NA,48.450227979446964
tr14pc,TRAC_01_tr14pc,400,2304.6069677206797,57.61517419301699,NA,NA,NA,57.61517419301699
tr15pc,TRAC_01_tr15pc,400,2913.115006811625,72.82787517029062,NA,NA,NA,72.82787517029062
tr16pc,TRAC_01_tr16pc,400,3702.9835967203985,92.57458991800996,NA,NA,NA,92.57458991800996
tr17pc,TRAC_01_tr17pc,400,5390.07438645052,134.75185966126298,NA,NA,NA,134.75185966126298
tr19pc,TRAC_01_tr19pc,400,2925.2194897324503,73.13048724331126,NA,NA,NA,73.13048724331126
tr20pc,TRAC_01_tr20pc,400,3070.8152044438466,76.77038011109617,NA,NA,NA,76.77038011109617
tr21pc,TRAC_01_tr21pc,400,1565.4863624475224,39.13715906118806,NA,NA,NA,39.13715906118806
tr22pc,TRAC_01_tr22pc,400,4150.1891942910115,103.7547298572753,NA,NA,NA,103.7547298572753
tr24pc,TRAC_01_tr24pc,400,5950.70251033049,148.76756275826227,NA,NA,NA,148.76756275826227
